,feature,unique_vals
291,abs_TBK_temp. max_[ni]_[0_3]_[mean],478
292,abs_TBK_temp. max_[ni]_[0_3]_[tg],969
293,abs_TBK_temp. max_[ni]_[0_3]_[std],482
294,TBK_temp. average_[ni]_[3_6]_[max],125
295,TBK_temp. average_[ni]_[3_6]_[min],59
296,TBK_temp. average_[ni]_[3_6]_[median],79
297,TBK_temp. average_[ni]_[3_6]_[mean],484
298,TBK_temp. average_[ni]_[3_6]_[tg],1034
299,TBK_temp. average_[ni]_[3_6]_[std],480
300,TBK_temp. max_[ni]_[3_6]_[max],120
301,TBK_temp. max_[ni]_[3_6]_[min],54
302,TBK_temp. max_[ni]_[3_6]_[median],75
303,TBK_temp. max_[ni]_[3_6]_[mean],476
304,TBK_temp. max_[ni]_[3_6]_[tg],1022
305,TBK_temp. max_[ni]_[3_6]_[std],480
306,abs_TBK_temp. average_[ni]_[3_6]_[max],125
307,abs_TBK_temp. average_[ni]_[3_6]_[min],59
308,abs_TBK_temp. average_[ni]_[3_6]_[median],79
309,abs_TBK_temp. average_[ni]_[3_6]_[mean],484
310,abs_TBK_temp. average_[ni]_[3_6]_[tg],1034
311,abs_TBK_temp. average_[ni]_[3_6]_[std],480
312,abs_TBK_temp. max_[ni]_[3_6]_[max],120
313,abs_TBK_temp. max_[ni]_[3_6]_[min],54
314,abs_TBK_temp. max_[ni]_[3_6]_[median],75
315,abs_TBK_temp. max_[ni]_[3_6]_[mean],476
316,abs_TBK_temp. max_[ni]_[3_6]_[tg],1022
317,abs_TBK_temp. max_[ni]_[3_6]_[std],480
318,TBK_temp. average_[ni]_[0_0.29]_[max],10
319,TBK_temp. average_[ni]_[0_0.29]_[min],5
320,TBK_temp. average_[ni]_[0_0.29]_[median],7
321,TBK_temp. average_[ni]_[0_0.29]_[mean],47
322,TBK_temp. average_[ni]_[0_0.29]_[tg],808
323,TBK_temp. average_[ni]_[0_0.29]_[std],52
324,TBK_temp. max_[ni]_[0_0.29]_[max],13
325,TBK_temp. max_[ni]_[0_0.29]_[min],5
326,TBK_temp. max_[ni]_[0_0.29]_[median],8
327,TBK_temp. max_[ni]_[0_0.29]_[mean],67
328,TBK_temp. max_[ni]_[0_0.29]_[tg],837
329,TBK_temp. max_[ni]_[0_0.29]_[std],88
330,abs_TBK_temp. average_[ni]_[0_0.29]_[max],10
331,abs_TBK_temp. average_[ni]_[0_0.29]_[min],5
332,abs_TBK_temp. average_[ni]_[0_0.29]_[median],7
